Restaurant,Restaurant Id,Address,Rating,City,Country,Latitiude,Longitude,Votes,Featured In,Cost For Two,Establishment Type,Known For,Should Order,Popular Reviews,All Reviews,Home Delivery,Takeaway,Dine-In,Non Veg,Alcohol,Air Conditioned,Wifi,Cuisines
Tumi Asbe Bole Bar & Restaurant,21944,"401/P, Ajoy Nagar, Kolkata",1.5,Kolkata,India,22.489105,88.394617,24,NA,Rs. 600,NA,NA,NA,2,5,Yes,No,Yes,Yes,Yes,Yes,No,"Chinese, North Indian"
Ginger,20885,"104, SP Mukherjee Road, Kalighat, Kolkata",1.6,Kolkata,India,22.522644,88.346479,1025,NA,Rs. 1200,NA,NA,NA,96,730,Yes,No,Yes,Yes,Yes,Yes,No,"North Indian, Seafood"
Tava,21994,"Hotel Shalimar, 3, SN Banerjee Road, Near Regal Cinema, Esplanade, Kolkata",1.8,Kolkata,India,22.563189,88.351852,11,NA,Rs. 500,NA,NA,NA,2,4,No,No,Yes,Yes,Yes,Yes,No,"North Indian, Chinese"
Om Sai Khazana,21706,"23 A, Sardar Sankar Road, Behind Lake Market, Rash Behari Avenue,Near , Kalighat, Kolkata",1.8,Kolkata,India,22.5156741,88.34662,19,NA,Rs. 300,NA,NA,NA,3,8,Yes,No,Yes,Yes,No,Yes,No,"North Indian, Chinese, Tibetan"
Bean It Up!!!,23383,"41, Elgin Road, Near Forum Mall, Elgin Area, Kolkata",1.8,Kolkata,India,22.537685,88.351852,13,NA,Rs. 250,NA,NA,NA,3,3,No,No,Yes,Yes,No,Yes,No,Cafe
New Basanta Cabin,22401,"65, Bidhan Sarani, College Street, Kolkata",1.9,Kolkata,India,22.589214,88.368972,12,NA,Rs. 100,NA,NA,NA,1,2,No,No,Yes,Yes,No,No,No,"Chinese, Fast Food"
Octane,21957,"4th Floor, Gariahat Mall, 13, Jamir Lane, Ballygunge, Kolkata",1.9,Kolkata,India,22.521358,88.371032,20,NA,Rs. 1500,NA,NA,NA,2,6,No,No,Yes,Yes,Yes,Yes,No,Drinks Only
Bindaas Food Plaza,22908,"18, College Street, Kolkata",2.1,Kolkata,India,22.570887,88.361363,6,NA,Rs. 200,NA,NA,NA,2,3,Yes,No,Yes,Yes,No,No,No,"Chinese, North Indian"
Basanta Cabin,22931,"53, College Street, Kolkata",2.2,Kolkata,India,22.573409,88.362605,31,NA,Rs. 200,NA,NA,NA,10,16,Yes,No,Yes,Yes,No,No,No,"North Indian, Chinese"
The Zeeshan,22895,"2, Surya Sen Street, College Street, Kolkata",2.2,Kolkata,India,22.574077,88.363439,32,NA,Rs. 400,NA,NA,NA,9,14,Yes,No,Yes,Yes,No,Yes,No,"Mughlai, North Indian"
The Sheriff,21372,"15C, Sarat Bose Road, Near Minto Park, Kolkata",2.2,Kolkata,India,22.53794,88.354274,21,NA,Rs. 700,NA,NA,NA,6,9,Yes,No,Yes,Yes,No,Yes,No,"Mexican, Chinese"
Chinaa More,21562,"34, Block C, Baghajatin, Jadavpur, Kolkata",2.2,Kolkata,India,22.47711,88.375955,15,NA,Rs. 600,NA,NA,NA,2,6,Yes,No,Yes,Yes,No,Yes,No,Chinese
Tasty Restaurant,22889,"12/ 1A, Bankim Chatterjee Street, College Street, Kolkata",2.3,Kolkata,India,22.575875,88.364389,5,NA,Rs. 200,NA,NA,NA,2,2,Yes,No,Yes,Yes,No,No,No,Chinese
Momo Food Club,21450,"13/4, Jessore Road, Kolkata",2.3,Kolkata,India,22.629723,88.421402,13,NA,Rs. 350,NA,NA,NA,1,3,Yes,No,Yes,Yes,No,Yes,No,"Chinese, Tibetan"
Darjeeling Momo Junction,22554,"1, Humayun Place, Shree Ram Arcade, New Market Area, Kolkata",2.3,Kolkata,India,22.560564,88.351465,11,NA,Rs. 100,NA,NA,NA,4,4,No,No,Yes,Yes,No,No,No,Fast Food
Palki,20393,"110, Baroda Avenue Extension, Garia, Kolkata",2.3,Kolkata,India,22.471718,88.381895,80,NA,Rs. 750,NA,NA,NA,16,40,Yes,No,Yes,Yes,Yes,Yes,No,"Chinese, North Indian"
Night Queen,20816,"103, Jessore Road, Kolkata",2.3,Kolkata,India,22.611927,88.411005,15,NA,Rs. 300,NA,NA,NA,2,2,Yes,No,Yes,Yes,No,No,No,"Chinese, North Indian"
Devdas Bar & Restaurant,23527,"41, Panchanogram, EM Bypass, Near , Ruby Hospital Area, Kolkata",2.3,Kolkata,India,22.53001,88.395336,4,NA,Rs. 400,NA,NA,NA,0,1,No,No,Yes,Yes,Yes,No,No,"North Indian, Chinese"
My Little Kitchen,21229,"181, Dum Dum Road, Siddheswari Garden, Dum Dum, Kolkata",2.4,Kolkata,India,22.621175,88.401532,52,NA,Rs. 400,NA,NA,NA,6,23,Yes,No,Yes,Yes,No,Yes,Yes,"Chinese, North Indian"
Night Queen's,22038,"13, Abdul Hamid Street, Esplanade, Kolkata",2.4,Kolkata,India,22.568014,88.351562,40,NA,Rs. 500,NA,NA,NA,1,1,Yes,No,Yes,Yes,No,Yes,No,"Chinese, North Indian"
Shri Vikas Restaurant,21342,"4, Salkia School Road, Golabari Petrol Pump, Howrah Station Area, Howrah",2.4,Kolkata,India,22.593434,88.34445,4,NA,Rs. 300,NA,NA,NA,0,1,Yes,No,Yes,No,No,Yes,No,"North Indian, Fast Food"
Zero Miles,21703,"11, Brabourne Road, Drauapadi Mansion, Dalhousie BBD Bagh, Kolkata",2.4,Kolkata,India,22.580338,88.351268,19,NA,Rs. 500,NA,NA,NA,5,7,Yes,No,Yes,Yes,Yes,Yes,Yes,"North Indian, Chinese, Fast Food"
Azad Hind Dhaba,23430,"68, Shanti Pally, East Kolkata Township, Near Rajdanga, Kasba, Kolkata",2.4,Kolkata,India,22.522626,88.396036,61,NA,Rs. 600,NA,NA,NA,11,27,Yes,No,Yes,Yes,No,Yes,No,North Indian
Annapurna Sweets,24085,"HA 20, Sector 3, Salt Lake, Kolkata",2.4,Kolkata,India,22.57730833,88.41018333,4,NA,Rs. 100,NA,NA,NA,0,1,No,No,No,No,No,No,No,Desserts
Mahalaya Snacks Corner,20759,"703, Block A, Lake Town, Kolkata",2.4,Kolkata,India,22.60403,88.403729,29,NA,Rs. 200,NA,NA,NA,3,15,No,No,Yes,Yes,No,No,No,"Chinese, Fast Food, North Indian"
Biryani Xpress,22142,"Light House Cinema, New Market Area, Kolkata",2.4,Kolkata,India,22.56093,88.352832,12,NA,Rs. 350,NA,NA,NA,4,6,Yes,No,No,Yes,No,No,No,"Biryani, North Indian"
Su Swagatam,21076,"6, Mandeville Gardens, Gariahat, Kolkata",2.4,Kolkata,India,22.524578,88.365876,38,NA,Rs. 300,NA,NA,NA,6,17,Yes,No,Yes,Yes,Yes,Yes,No,"Chinese, Mughlai, North Indian"
Sweet Corn,21228,"174, Dakshindari Road, Lake Town, Kolkata",2.4,Kolkata,India,22.620847,88.402408,6,NA,Rs. 350,NA,NA,NA,2,3,Yes,No,Yes,Yes,No,No,No,"Chinese, North Indian, Seafood"
Jalshaghar,21427,"Matangini Colony, Near Ruby Hospital Area, Opposite Tagore Park, Ruby Hospital Area, Kolkata",2.4,Kolkata,India,22.521829,88.398496,8,NA,Rs. 500,NA,NA,NA,1,3,Yes,No,Yes,Yes,Yes,Yes,No,"North Indian, Chinese"
Alishaan,24064,"Garia Main Road, Near Clay oven, Garia, Kolkata",2.4,Kolkata,India,22.44563,88.3932,4,NA,Rs. 300,NA,NA,NA,1,3,Yes,No,Yes,Yes,No,Yes,No,"Fast Food, North Indian, Chinese"
A Step Up,21490,"P 188, 2nd Floor, CIT Road, Ultadanga, Kolkata",2.4,Kolkata,India,22.592312,88.391825,12,NA,Rs. 400,NA,NA,NA,1,3,No,No,Yes,Yes,Yes,Yes,No,"Fast Food, Chinese"
Mayur Hotel & Restaurant,24151,"RB -2 Raghunathpur, VIP Road, Kolkata",2.4,Kolkata,India,22.62167333,88.43209167,4,NA,Rs. 300,NA,NA,NA,0,0,No,No,Yes,Yes,No,No,No,"North Indian, Chinese"
Marwar,20775,"522, G.T. Road, Opposite Navbharat Cinema Hall, Shibpur, Howrah",2.4,Kolkata,India,22.577833,88.330449,24,NA,Rs. 600,NA,NA,NA,2,8,Yes,No,Yes,No,No,Yes,No,"North Indian, Chinese"
Indthalia,20624,"16, Gariahat Road (South), Opposite Madhusudan Manch, Dhakuria, Kolkata",2.4,Kolkata,India,22.508117,88.367323,79,NA,Rs. 500,NA,NA,NA,21,38,Yes,No,Yes,Yes,No,Yes,No,"Chinese, Fast Food"
China 65,22427,"Ground Floor, City Centre 2, Rajarhat New Town, Kolkata",2.5,Kolkata,India,22.622087,88.450388,56,NA,Rs. 700,NA,NA,NA,8,23,Yes,No,Yes,Yes,No,Yes,No,"North Indian, Continental, Italian"
Lucknow,24027,"7, Circus Avenue, Park Circus Area, Kolkata",2.5,Kolkata,India,22.54153167,88.36477667,63,NA,Rs. 1000,NA,NA,NA,18,46,Yes,No,Yes,Yes,No,Yes,No,"Lucknowi, Biryani, North Indian"
Nesha's Kitchen,21466,"121, Baroda Avenue, Near Indian Oil Petrol Pump, Garia, Kolkata",2.5,Kolkata,India,22.471682,88.381185,38,NA,Rs. 350,NA,NA,NA,5,14,Yes,No,Yes,Yes,No,Yes,No,"North Indian, Chinese, Seafood"
Mini Restaurant,22886,"25, Surya Sen Street, College Street, Kolkata",2.5,Kolkata,India,22.573394,88.365703,6,NA,Rs. 450,NA,NA,NA,0,1,Yes,No,Yes,Yes,No,Yes,No,"Chinese, North Indian"
Zion Lounge,23451,"Ground Floor, City Centre 2, Rajarhat New Town, Kolkata",2.5,Kolkata,India,22.622951,88.45008,22,NA,Rs. 700,NA,NA,NA,4,11,No,No,Yes,Yes,No,Yes,Yes,Fast Food
Tripti,22729,"P-29, CIT Road, Beliaghata, Kolkata",2.5,Kolkata,India,22.56444167,88.39665,9,NA,Rs. 250,NA,NA,NA,3,5,Yes,No,Yes,Yes,No,No,No,"North Indian, Chinese, Street Food"
1st Floor Restaurant,22397,"2, M.G. Road, Near 3A Bus Stand, Thakur Pukur, Kolkata",2.5,Kolkata,India,22.45705556,88.30568611,9,NA,Rs. 500,NA,NA,NA,1,8,Yes,No,Yes,Yes,No,Yes,No,"Chinese, North Indian"
Club Camacs Mehfill,20141,"233/3, AJC Bose Road, Elgin, Kolkata",2.5,Kolkata,India,22.541296,88.352924,5,NA,Rs. 750,NA,NA,NA,1,2,Yes,No,Yes,Yes,Yes,Yes,No,"Chinese, North Indian"
Som's Fast Food,22371,"3, Pankajini Chatterjee Road, Tollygunge, Kolkata",2.5,Kolkata,India,22.504504,88.348899,11,NA,Rs. 250,NA,NA,NA,0,1,No,No,Yes,Yes,No,No,No,"Chinese, Street Food"
KA's,23765,"58, Keshab Chandra Sen Street, College Street, Kolkata",2.5,Kolkata,India,22.578109,88.367954,5,NA,Rs. 200,NA,NA,NA,1,2,Yes,No,No,Yes,No,No,No,"Fast Food, Chinese"
Chef Alladin,21967,"Chota Garia Station Road, Garia, kolkata",2.5,Kolkata,India,22.465277,88.389599,17,NA,Rs. 350,NA,NA,NA,1,7,Yes,No,No,Yes,No,No,No,"North Indian, Chinese"
Tongue Twister,21344,"114 B, Bidhan Sarani, Shyam Bazar, Kolkata",2.5,Kolkata,India,22.601233,88.373402,92,NA,Rs. 500,NA,NA,NA,10,38,No,No,Yes,Yes,No,Yes,No,"Chinese, North Indian, Mughlai"
China Kitchen,24020,"1/7, Prince Golam Mohammad Shah Road, Lake Gardens, Kolkata",2.5,Kolkata,India,22.50109167,88.35756667,8,NA,Rs. 600,NA,NA,NA,3,4,Yes,No,No,Yes,No,No,No,Chinese
Green Chilly,24023,"114L, Salimpur Road, Dhakuria, Kolkata",2.5,Kolkata,India,22.504995,88.37014167,8,NA,Rs. 400,NA,NA,NA,1,4,Yes,No,No,Yes,No,No,No,"North Indian, Chinese, Street Food"
Seven Heaven,20458,"1A, Victoria Terrace, Opposite Industry House, Camac Street Area, Kolkata",2.5,Kolkata,India,22.54433333,88.3495,16,NA,Rs. 600,NA,NA,NA,2,8,Yes,No,Yes,Yes,Yes,Yes,No,"North Indian, Mughlai, Chinese"
Amarjit Hotel & Restaurant,23203,"2, S M Ali Road, Barrackpore, Kolkata",2.5,Kolkata,India,22.76032,88.36991833,13,NA,Rs. 250,NA,NA,NA,3,5,No,No,Yes,Yes,No,No,No,"Chinese, North Indian"
Hong Kong,21232,"188/9, Prince Anwar Shah Road, Kolkata",2.6,Kolkata,India,22.502075,88.359266,61,NA,Rs. 600,NA,NA,NA,19,37,No,No,Yes,Yes,No,Yes,No,Chinese
Prince Bar & Restaurant,22032,"Chinar Park, Hota Ghara, Rajarhat New Town, Kolkata",2.6,Kolkata,India,22.623484,88.441695,11,NA,Rs. 500,NA,NA,NA,0,2,No,No,Yes,Yes,Yes,No,No,"Chinese, North Indian"
Bedwin,21413,"32/33 Jheel Road, 43, Parul Bazaar, Jadavpur, Kolkata",2.6,Kolkata,India,22.497987,88.37459,37,NA,Rs. 400,NA,NA,NA,4,9,Yes,No,Yes,Yes,No,Yes,No,"Chinese, North Indian"
Regent Restaurant,21721,"Near Regent Station, BT Road, Kamarhati, Baranagar, Kolkata",2.6,Kolkata,India,22.681287,88.375718,35,NA,Rs. 500,NA,NA,NA,5,13,No,No,Yes,Yes,Yes,Yes,No,"Chinese, North Indian, Mughlai"
H2O,20700,"387, Rajadanga Main Road, Rashbehari Connector, Kasba, Kolkata",2.6,Kolkata,India,22.5139,88.396213,44,NA,Rs. 400,NA,NA,NA,10,18,Yes,No,Yes,Yes,Yes,Yes,No,"North Indian, Chinese, Continental"
Kobe Sizzlers,21113,"4th Floor, City Centre, Sector 1, Salt Lake, Kolkata",2.6,Kolkata,India,22.588565,88.407948,156,NA,Rs. 1200,NA,NA,NA,37,69,No,No,Yes,Yes,Yes,Yes,No,Continental
Fusion,21159,"151/1, Bidhan Sarani, Near Star Theatre, Hatibagan, Kolkata",2.6,Kolkata,India,22.593288,88.370356,192,NA,Rs. 600,NA,NA,NA,20,66,Yes,No,Yes,Yes,No,Yes,No,"North Indian, Chinese"
Spicy,23969,"51, Bidhan Sarani, Near College Street, Kolkata",2.6,Kolkata,India,22.586059,88.367762,4,NA,Rs. 450,NA,NA,NA,0,2,Yes,No,Yes,Yes,No,Yes,No,"Bengali, North Indian, Chinese"
100,21390,"6A/2, Banamali Ghoshal Lane, James Long Sarani, Behala, Kolkata",2.6,Kolkata,India,22.48169,88.313577,25,NA,Rs. 600,NA,NA,NA,2,9,Yes,No,Yes,Yes,No,Yes,No,"Chinese, North Indian"
Dish Of,22513,"36 A, Diamond Harbour Road, Barisha, Near Behala, Kolkata",2.6,Kolkata,India,22.480728,88.310369,8,NA,Rs. 250,NA,NA,NA,2,3,No,No,No,Yes,No,No,No,"Chinese, Fast Food"
Sky High,21791,"Hotel Samilton, 4th Floor, 35A, Sarat Bose Road, Bhawanipur, Kolkata",2.6,Kolkata,India,22.522351,88.351908,6,NA,Rs. 1200,NA,NA,NA,0,2,No,No,Yes,Yes,Yes,No,No,"North Indian, Chinese"
North Point,21647,"50, Bidhan Sarani, College Street, Kolkata",2.6,Kolkata,India,22.586059,88.367762,35,NA,Rs. 400,NA,NA,NA,2,13,No,No,Yes,Yes,No,Yes,No,"North Indian, Chinese"
Not Just Lebanese,23987,"328, Nabalia Para Road, James Long Sarani, Behala, Kolkata",2.6,Kolkata,India,22.48631667,88.31512333,21,NA,Rs. 400,NA,NA,NA,0,0,Yes,No,Yes,Yes,No,No,No,"Fast Food, Lebanese"
Super Haji Biryani,22104,"BE 26, Rabindra Pally, Krishnapur Main Road, Kestopur, Kolkata",2.6,Kolkata,India,22.601739,88.428011,17,NA,Rs. 150,NA,NA,NA,1,5,Yes,No,No,Yes,No,No,No,"Biryani, North Indian"
Bono Phool,21319,"28/A, SP Mukharjee Road, Bhawanipur, Kolkata",2.6,Kolkata,India,22.528054,88.3456,9,NA,Rs. 400,NA,NA,NA,1,5,No,No,Yes,Yes,No,No,No,"Chinese, North Indian"
Snacks Corner,22974,"97, BL Saha Road, Tollygunge, Kolkata",2.6,Kolkata,India,22.498641,88.340024,6,NA,Rs. 300,NA,NA,NA,0,1,Yes,No,No,Yes,No,No,No,"North Indian, Chinese"
Khao Piyo,22043,"32, SN Banerjee Road, Esplanade, Kolkata",2.6,Kolkata,India,22.561158,88.359742,13,NA,Rs. 250,NA,NA,NA,0,5,Yes,No,Yes,Yes,No,No,No,"Chinese, Street Food"
Singhji's Dhaba,21467,"1644, GF 2, Rajdanga Main Road, Near Rubi Hospital, Kasba, Kolkata",2.6,Kolkata,India,22.512599,88.400207,25,NA,Rs. 500,NA,NA,NA,6,12,Yes,No,Yes,Yes,Yes,Yes,No,"North Indian, Chinese"
Kum Kum Fast Food Centre,22364,"49, Bidhan Sarani, Hatibagan, Kolkata",2.6,Kolkata,India,22.58598,88.367658,15,NA,Rs. 250,NA,NA,NA,0,4,Yes,No,Yes,Yes,No,No,No,Fast Food
Ashirbad,20029,"226, Diamond Harbour Road, Near Behala Thana, Behala, Kolkata",2.6,Kolkata,India,22.505062,88.319375,24,NA,Rs. 500,NA,NA,NA,3,7,Yes,No,Yes,Yes,No,Yes,No,"North Indian, Chinese"
Desserts 'N' More,22251,"3rd Floor, Mani Square Mall, Maniktala Main Road, EM Bypass, Near , Kankurgachi, Kolkata",2.6,Kolkata,India,22.577706,88.401519,6,NA,Rs. 300,NA,NA,NA,5,5,No,No,Yes,No,No,Yes,No,Desserts
Biryani Bar,22788,"Near Rajarhat Petrol Pump, Rajarhat New Town, Kolkata",2.7,Kolkata,India,22.581564,88.458859,26,NA,Rs. 300,NA,NA,NA,5,8,Yes,No,Yes,Yes,No,No,No,"Bengali, North Indian, Chinese"
Mini Box,22378,"81, Sarat Bose Road, Desapriya Park, Kolkata",2.7,Kolkata,India,22.517906,88.352447,22,NA,Rs. 150,NA,NA,NA,6,10,No,No,Yes,Yes,No,No,No,Fast Food
Hotel Downtown,21747,"RAA 1/1, Teghoria, VIP Road, Kolkata",2.7,Kolkata,India,22.622127,88.432742,15,NA,Rs. 600,NA,NA,NA,2,4,Yes,No,Yes,Yes,No,Yes,No,"North Indian, Chinese, Mughlai"
King's Food,20777,"DA4/14, Sastri Bagan (Jora Mandir), VIP Road, Kolkata",2.7,Kolkata,India,22.612547,88.429087,14,NA,Rs. 550,NA,NA,NA,2,6,Yes,No,Yes,Yes,No,Yes,No,"Chinese, North Indian"
Abhu's Hot-n-Fresh,23668,"EN 15, Sector V, Salt Lake City, Sector 5, Salt Lake, Kolkata",2.7,Kolkata,India,22.572813,88.431395,9,NA,Rs. 600,NA,NA,NA,1,4,Yes,No,Yes,Yes,No,Yes,Yes,"Chinese, North Indian"
Lords Restaurant,21436,"AC 2, Prafulla Kanan, VIP Junction, Kestopur, Kolkata",2.7,Kolkata,India,22.60377,88.424291,51,NA,Rs. 350,NA,NA,NA,6,18,Yes,No,Yes,Yes,No,Yes,No,"Chinese, North Indian"
Panda Junction,24354,"Ground Floor, City Centre, Sector 1, Salt Lake, Kolkata",2.7,Kolkata,India,22.58820833,88.40786111,9,NA,Rs. 500,NA,NA,NA,3,3,Yes,No,Yes,Yes,No,No,No,Chinese
Kafe Hookd,21075,"7/3, Mandeville Gardens, Ballygunge, Kolkata",2.7,Kolkata,India,22.525,88.366335,15,NA,Rs. 400,NA,NA,NA,3,4,Yes,No,Yes,Yes,No,Yes,No,Fast Food
Treats,23897,"23/3, Near Bakultala Bus Stop, R K Chatterjee Road, Kasba, Kolkata",2.7,Kolkata,India,22.51902333,88.38097167,10,NA,Rs. 400,NA,NA,NA,5,6,Yes,No,No,Yes,No,No,No,"North Indian, Chinese, Street Food"
Rana Snacketeria,21331,"394A, Gariahat Road, Near Jadavpur Thana, Kolkata",2.7,Kolkata,India,22.503325,88.367555,28,NA,Rs. 200,NA,NA,NA,7,15,Yes,No,Yes,Yes,No,Yes,No,"Chinese, South Indian"
Bhoj,21054,"158A, APC Road, Near Hatibagan, Kolkata",2.7,Kolkata,India,22.593028,88.375204,6,NA,Rs. 200,NA,NA,NA,0,2,Yes,No,Yes,Yes,No,Yes,No,"Chinese, North Indian"
Peiking Chinese Restaurant,22903,"42, Surya Sen Street, Near College Street, Kolkata",2.7,Kolkata,India,22.574186,88.363498,5,NA,Rs. 250,NA,NA,NA,2,3,Yes,No,Yes,Yes,No,Yes,No,Chinese
Chicken King,23491,"124/A, KM Sarani, Opposite Fancy Market, Kidderpore, Kolkata",2.7,Kolkata,India,22.53937667,88.32306333,11,NA,Rs. 450,NA,NA,NA,0,6,Yes,No,Yes,Yes,No,Yes,No,"Chinese, Fast Food"
Lords Restaurant,21284,"P 193/1, CIT Scheme VII,Ultadanga Main Road, Kankurgachi, Kolkata",2.7,Kolkata,India,22.591695,88.39298,29,NA,Rs. 350,NA,NA,NA,9,13,Yes,No,Yes,Yes,No,Yes,No,"Chinese, North Indian"
Ruchira,22198,"Purbapally, Near Lohar Bridge, Kalikapur, Kolkata",2.7,Kolkata,India,22.49022333,88.39458333,7,NA,Rs. 400,NA,NA,NA,1,2,Yes,No,Yes,Yes,No,No,No,"Chinese, North Indian, Mughlai"
Brar's Punjabi Hotel,22466,"1, Boral Main Road, Garia, Kolkata",2.7,Kolkata,India,22.457836,88.377797,16,NA,Rs. 300,NA,NA,NA,2,7,Yes,No,Yes,Yes,No,No,No,"North Indian, Chinese"
Manthan Restaurant,22037,"3, Waterloo Street, Esplanade, Kolkata",2.7,Kolkata,India,22.567754,88.350299,18,NA,Rs. 700,NA,NA,NA,4,7,Yes,No,Yes,Yes,Yes,Yes,No,"North Indian, Mughlai"
Golden Inn,24143,"Raghunathpur, Opposite KFC, VIP Road, Kolkata",2.7,Kolkata,India,22.6186,88.43196333,5,NA,Rs. 400,NA,NA,NA,0,0,No,No,Yes,Yes,Yes,No,Yes,"Chinese, North Indian"
Bhaju's Fortune Garden,22157,"13 A / 1, Chitrakoot Apartment, C N Roy Road, Picnic Garden, Kolkata",2.7,Kolkata,India,22.530074,88.387413,7,NA,Rs. 250,NA,NA,NA,1,3,Yes,No,Yes,Yes,No,No,No,Chinese
Vivekananda Cabin,20722,"14C, Sarat Bose Road, Lansdowne Market, Near , Bhawanipur, Kolkata",2.7,Kolkata,India,22.52843,88.352741,25,NA,Rs. 200,NA,NA,NA,5,10,No,No,Yes,Yes,No,No,No,"Chinese, North Indian"
Chung Wah,21538,"13 A, Chitranjan Avenue, Near Chandni Chowk Metro Station, Kolkata",2.7,Kolkata,India,22.568445,88.356639,129,NA,Rs. 200,NA,NA,NA,29,57,No,No,Yes,Yes,Yes,Yes,No,Chinese
Henglu,23781,"BD 46, Rabindrapally, Krishnapur Prafulla Kanan, Kestopur, Kolkata",2.7,Kolkata,India,22.601896,88.427926,11,NA,Rs. 250,NA,NA,NA,0,5,Yes,No,Yes,Yes,No,No,No,"Chinese, Fast Food"
ACS Chinese Flavour,21179,"8, Elliot Road, Near Loreto Day School, Wellesley, Kolkata",2.7,Kolkata,India,22.552584,88.357775,25,NA,Rs. 300,NA,NA,NA,6,12,Yes,No,Yes,Yes,No,No,No,Chinese
Humpty Dumpty,20801,"238, Chittaranjan Avenue, Kolkata",2.7,Kolkata,India,22.585707,88.362777,15,NA,Rs. 300,NA,NA,NA,2,5,Yes,No,Yes,No,No,No,No,"Fast Food, South Indian, Pizza"
Food Zone,22845,"P/153/1, CIT Scheme VII M, Ultadanga, Kolkata",2.7,Kolkata,India,22.592102,88.391785,4,NA,Rs. 350,NA,NA,NA,0,2,Yes,No,Yes,Yes,No,Yes,No,"North Indian, Chinese"
Floriana (Sam's Pub),20879,"13 D, Middleton Row, Russel Street, Kolkata",2.7,Kolkata,India,22.553098,88.351146,52,NA,Rs. 800,NA,NA,NA,8,18,No,No,Yes,Yes,Yes,Yes,No,"Chinese, Continental, North Indian"
Red Ginger,23935,"Opposite Mani Square Mall, EM Bypass, Kankurgachi, Kolkata",2.7,Kolkata,India,22.57808,88.401807,15,NA,Rs. 300,NA,NA,NA,2,10,Yes,No,Yes,Yes,No,No,No,"North Indian, Chinese"
Zouk Lounge,24423,"2nd Floor, City Centre, Sector 1, Salt Lake, Kolkata",2.7,Kolkata,India,22.58823889,88.40800556,7,NA,Rs. 300,NA,NA,NA,1,4,No,No,Yes,Yes,No,Yes,Yes,"Fast Food, Cafe"
Red Carpet,21338,"6, Airpot Gate 2, Jessore Road, Kolkata",2.7,Kolkata,India,22.645913,88.433555,27,NA,Rs. 500,NA,NA,NA,2,9,Yes,No,Yes,Yes,No,Yes,No,"North Indian, Chinese"
Spice Garden,22028,"4/1, Chinar Park, Atghara, Rajarhat New Town, Kolkata",2.7,Kolkata,India,22.623736,88.440648,12,NA,Rs. 800,NA,NA,NA,0,1,Yes,No,Yes,Yes,Yes,Yes,No,"Chinese, North Indian"
Pagoda Cake,23977,"196, Danesh Sheikh Lane, Andul Road, Howrah",2.7,Kolkata,India,22.56283167,88.29668333,4,NA,Rs. 150,NA,NA,NA,0,0,No,No,No,Yes,No,No,No,Desserts
The Food Pavilion,24081,"Block AA 45, Sector 1, Salt Lake, Kolkata",2.7,Kolkata,India,22.59068167,88.39840833,4,NA,Rs. 400,NA,NA,NA,0,4,Yes,No,Yes,Yes,No,No,No,"North Indian, Chinese, Fast Food"
Princep Palace Restaurant,20815,"P 247/8, Strand Road, Dalhousie BBD Bagh, Kolkata",2.7,Kolkata,India,22.568283,88.341586,5,NA,Rs. 450,NA,NA,NA,1,2,No,No,Yes,Yes,No,No,No,"Chinese, North Indian"
Marlin,23444,"1/A, KC Avenue, Boral Road, Garia, Kolkata",2.8,Kolkata,India,22.466328,88.405045,7,NA,Rs. 400,NA,NA,NA,0,3,No,No,Yes,Yes,Yes,Yes,No,"North Indian, Chinese"
Golden City,22139,"FD 30 A/2, Salt Lake Sector 3, Kolkata",2.8,Kolkata,India,22.580276,88.412215,60,NA,Rs. 700,NA,NA,NA,13,27,Yes,No,Yes,Yes,Yes,Yes,No,Chinese
Szafran,21833,"12/2, Opposite Avishkar Shopping Mall, Kalikapur Road, Kolkata",2.8,Kolkata,India,22.504092,88.39683,35,NA,Rs. 700,NA,NA,NA,3,20,Yes,No,Yes,Yes,Yes,Yes,No,"North Indian, Continental, Bengali, South Indian, Chinese"
New Biryani Corner,22402,"140, Bidhan Sarani, Beside Hatibagan Bata, Hatibagan, Kolkata",2.8,Kolkata,India,22.59755,88.371831,18,NA,Rs. 300,NA,NA,NA,1,3,Yes,No,Yes,Yes,No,No,No,"Biryani, Mughlai"
New Bhukhara,20694,"Garia Main Road, Behind Mantri Mashai, Near Garia Bridge, Kolkata",2.8,Kolkata,India,22.463205,88.379111,32,NA,Rs. 250,NA,NA,NA,2,15,Yes,No,Yes,Yes,No,No,No,"North Indian, Chinese"
Classic Snacks,22246,"Baguihati Main Road, VIP Road, Kolkata",2.8,Kolkata,India,22.61063667,88.42805333,4,NA,Rs. 200,NA,NA,NA,0,1,No,No,Yes,Yes,No,No,No,Street Food
Hihat Dhaba,20246,"432/1, Prince Anwar Shah Road, Kolkata",2.8,Kolkata,India,22.502545,88.364476,12,NA,Rs. 300,NA,NA,NA,2,5,Yes,No,Yes,Yes,No,Yes,No,"Chinese, North Indian"
The Chinese Pavilion,20127,"P 21, Old Ballygunge Road, Ballygunge Phari Crossing, Kolkata",2.8,Kolkata,India,22.528807,88.365858,81,NA,Rs. 600,NA,NA,NA,13,29,Yes,No,Yes,Yes,No,Yes,No,"Chinese, Thai"
Cafe 4 U,24408,"37/3, Chakraberia Road (North), Bhawanipur, Kolkata",2.8,Kolkata,India,22.53351667,88.35173889,11,NA,Rs. 400,NA,NA,NA,1,4,Yes,No,Yes,No,No,Yes,No,"Cafe, Fast Food"
